,sample,prop_fetalization_spots,fetal_Moran,fetal_Moran_p,region
0,HCAHeartST8795933,3.251470079557247,0.22191200817425866,5.51420020354973e-97,control
1,HCAHeartST9383352,4.867256637168142,0.07110752797413239,2.1244558262463956e-09,control
2,HCAHeartST9383354,3.087313072841293,0.09844138508755923,2.8459114597330166e-15,control
3,HCAHeartST9383356,4.373927958833619,0.04033686476752183,0.012126157705684822,control
4,HCAHeartST9383358,1.132686084142395,0.04706354141066643,0.0027180027339211246,control
