,gene,coefficientValue,q_val,pval,cellType,Effect_Magnitude,Effect_Direction
51296,TPTE,0.280947445,0.049246811,0.000596073,Ventricular_Cardiomyocytes,0.280947445,Positive
51353,KCNJ5,-0.269221482,0.084148122,0.001348246,Ventricular_Cardiomyocytes,0.269221482,Negative
51388,URB1,0.262555869,0.022065919,0.000188302,Ventricular_Cardiomyocytes,0.262555869,Positive
51395,TTC7A,0.260944707,0.017294937,0.000129516,Ventricular_Cardiomyocytes,0.260944707,Positive
51414,WDFY2,-0.255896128,0.084148122,0.001341196,Ventricular_Cardiomyocytes,0.255896128,Negative
51421,VMP1,0.254648432,0.093593697,0.001695184,Ventricular_Cardiomyocytes,0.254648432,Positive
51424,SLC1A3,0.254274944,0.006014178,3.51E-05,Ventricular_Cardiomyocytes,0.254274944,Positive
51434,TMEM150A,0.2524386,0.090418238,0.001543883,Ventricular_Cardiomyocytes,0.2524386,Positive
51436,SSX2IP,0.252089224,0.090418238,0.001580705,Ventricular_Cardiomyocytes,0.252089224,Positive
51446,NCKAP5,0.24999236,0.091566067,0.001633806,Ventricular_Cardiomyocytes,0.24999236,Positive
51450,ENTPD7,0.249038471,0.060649969,0.000802751,Ventricular_Cardiomyocytes,0.249038471,Positive
51462,DOCK4,0.24769252,0.030171111,0.000275859,Ventricular_Cardiomyocytes,0.24769252,Positive
51482,ZRSR2,-0.243826755,2.55E-07,3.77E-10,Ventricular_Cardiomyocytes,0.243826755,Negative
51486,TPTE2,0.243651835,0.061188298,0.000825861,Ventricular_Cardiomyocytes,0.243651835,Positive
51489,EFCAB5,0.243323782,0.088429941,0.001470752,Ventricular_Cardiomyocytes,0.243323782,Positive
51514,FEM1B,0.239526221,0.071810874,0.001029185,Ventricular_Cardiomyocytes,0.239526221,Positive
51527,PLIN5,-0.23785035,0.047315961,0.000547982,Ventricular_Cardiomyocytes,0.23785035,Negative
51531,TMEM70,0.237209767,0.032113218,0.00030015,Ventricular_Cardiomyocytes,0.237209767,Positive
51536,LRIG3,-0.236708322,0.044605287,0.000504707,Ventricular_Cardiomyocytes,0.236708322,Negative
51547,SMC1A,-0.23550938,2.71E-08,3.07E-11,Ventricular_Cardiomyocytes,0.23550938,Negative
51559,CHRAC1,-0.232794634,0.064641183,0.000892208,Ventricular_Cardiomyocytes,0.232794634,Negative
51570,PABPC1L,0.230404786,0.052186225,0.00064074,Ventricular_Cardiomyocytes,0.230404786,Positive
51578,TBX20,-0.229158343,0.098059519,0.001827302,Ventricular_Cardiomyocytes,0.229158343,Negative
51583,AGAP9,0.228412776,0.024553421,0.000213805,Ventricular_Cardiomyocytes,0.228412776,Positive
51584,ANXA11,-0.228351379,0.011000736,7.18E-05,Ventricular_Cardiomyocytes,0.228351379,Negative
51595,CDC14A,0.225902286,0.060649969,0.000788944,Ventricular_Cardiomyocytes,0.225902286,Positive
51598,TXLNG,-0.224718234,1.68E-05,4.24E-08,Ventricular_Cardiomyocytes,0.224718234,Negative
51601,CCNB1IP1,-0.224190078,0.088429941,0.001466506,Ventricular_Cardiomyocytes,0.224190078,Negative
51614,LIMK2,0.223018485,0.000758066,2.84E-06,Ventricular_Cardiomyocytes,0.223018485,Positive
51621,TRMT9B,-0.221811138,0.082125789,0.001287238,Ventricular_Cardiomyocytes,0.221811138,Negative
51663,EIF2S3,-0.21703913,1.31E-05,3.19E-08,Ventricular_Cardiomyocytes,0.21703913,Negative
51674,GOT1,-0.215540558,0.04282054,0.000439988,Ventricular_Cardiomyocytes,0.215540558,Negative
51689,ANKH,-0.213677145,0.084901888,0.001375109,Ventricular_Cardiomyocytes,0.213677145,Negative
51691,ATF4,0.21342805,0.037213815,0.000372657,Ventricular_Cardiomyocytes,0.21342805,Positive
51721,SAYSD1,0.208737771,0.078180666,0.001198307,Ventricular_Cardiomyocytes,0.208737771,Positive
51733,NMD3,-0.207702562,0.021893514,0.000184924,Ventricular_Cardiomyocytes,0.207702562,Negative
51765,FGD1,0.204342093,0.064641183,0.00089498,Ventricular_Cardiomyocytes,0.204342093,Positive
51828,TRPM7,-0.197622411,0.043672175,0.000467753,Ventricular_Cardiomyocytes,0.197622411,Negative
51830,ASMTL,0.197293307,0.061140022,0.000819885,Ventricular_Cardiomyocytes,0.197293307,Positive
51839,FAM210A,-0.196062276,0.012523922,8.40E-05,Ventricular_Cardiomyocytes,0.196062276,Negative
51853,DGKH,0.193412337,0.074248866,0.00108619,Ventricular_Cardiomyocytes,0.193412337,Positive
51866,DCAF8,0.192300208,0.094520201,0.001720195,Ventricular_Cardiomyocytes,0.192300208,Positive
51899,MMGT1,-0.18924159,0.033779268,0.000323556,Ventricular_Cardiomyocytes,0.18924159,Negative
51925,YARS1,0.187304215,0.00082707,3.31E-06,Ventricular_Cardiomyocytes,0.187304215,Positive
51928,LARP6,0.187055388,0.089497586,0.001496302,Ventricular_Cardiomyocytes,0.187055388,Positive
51942,DYSF,0.186242228,0.033952426,0.000329347,Ventricular_Cardiomyocytes,0.186242228,Positive
51972,ZNF527,-0.18362987,0.018232317,0.000141299,Ventricular_Cardiomyocytes,0.18362987,Negative
52001,ENOX2,0.18100454,0.004488546,2.36E-05,Ventricular_Cardiomyocytes,0.18100454,Positive
52041,PLXNB2,0.177897031,0.088429941,0.001464772,Ventricular_Cardiomyocytes,0.177897031,Positive
52069,SNX7,-0.175892392,0.04525556,0.000520179,Ventricular_Cardiomyocytes,0.175892392,Negative
52093,KALRN,0.174458782,0.084098284,0.001325478,Ventricular_Cardiomyocytes,0.174458782,Positive
52157,MALT1,-0.170129367,0.091566067,0.001633149,Ventricular_Cardiomyocytes,0.170129367,Negative
52159,CEP95,-0.170050398,0.018436537,0.00014693,Ventricular_Cardiomyocytes,0.170050398,Negative
52211,DEDD2,0.165862042,0.028543645,0.000258493,Ventricular_Cardiomyocytes,0.165862042,Positive
52236,SRA1,-0.164146559,0.097648994,0.001811149,Ventricular_Cardiomyocytes,0.164146559,Negative
52248,CCNH,-0.163594504,0.084913373,0.001382689,Ventricular_Cardiomyocytes,0.163594504,Negative
52312,MAGI3,0.159392695,0.074541755,0.001096966,Ventricular_Cardiomyocytes,0.159392695,Positive
52324,FAM126A,0.158631999,0.044605287,0.000504936,Ventricular_Cardiomyocytes,0.158631999,Positive
52405,SPIN1,-0.154284936,0.090368474,0.001518732,Ventricular_Cardiomyocytes,0.154284936,Negative
52415,FBXO42,-0.153325301,0.016086151,0.000116262,Ventricular_Cardiomyocytes,0.153325301,Negative
52438,UBFD1,0.152122719,0.064709764,0.000901564,Ventricular_Cardiomyocytes,0.152122719,Positive
52440,CAB39L,-0.151912328,0.090615606,0.0015939,Ventricular_Cardiomyocytes,0.151912328,Negative
52511,MDC1,-0.14720842,0.044605287,0.000497769,Ventricular_Cardiomyocytes,0.14720842,Negative
52843,CA5B,-0.131425027,0.014668561,0.000102184,Ventricular_Cardiomyocytes,0.131425027,Negative
52867,CPNE1,0.130426603,0.097526675,0.001791896,Ventricular_Cardiomyocytes,0.130426603,Positive
52877,TMEM230,-0.130043368,0.084148122,0.001343589,Ventricular_Cardiomyocytes,0.130043368,Negative
52951,STAG1,-0.127473344,0.044041597,0.000475545,Ventricular_Cardiomyocytes,0.127473344,Negative
53106,ELP1,-0.121655939,0.026074518,0.000233862,Ventricular_Cardiomyocytes,0.121655939,Negative
53263,USP9X,-0.116282336,0.020082027,0.000166126,Ventricular_Cardiomyocytes,0.116282336,Negative
53534,MKLN1,0.108252657,0.038676071,0.000390667,Ventricular_Cardiomyocytes,0.108252657,Positive
53921,SMCHD1,-0.099124489,0.080575652,0.001248909,Ventricular_Cardiomyocytes,0.099124489,Negative
53989,KANSL3,-0.0973981,0.097648994,0.00180948,Ventricular_Cardiomyocytes,0.0973981,Negative
54634,CUL1,-0.08329724,0.062946757,0.000855076,Ventricular_Cardiomyocytes,0.08329724,Negative
55178,NCOR1,-0.073541692,0.05666794,0.00071057,Ventricular_Cardiomyocytes,0.073541692,Negative
62274,USP9Y,4.277072729,1.19E-36,4.56E-40,Neuron,4.277072729,Positive
62275,UTY,3.507885836,5.79E-48,1.11E-51,Neuron,3.507885836,Positive
62276,ANKRD1,1.020790899,0.004917397,7.54E-06,Neuron,1.020790899,Positive
62279,NLGN4X,-0.589562602,1.17E-07,8.97E-11,Neuron,0.589562602,Negative
62283,SYAP1,-0.533942304,0.022869467,4.78E-05,Neuron,0.533942304,Negative
62286,PUDP,-0.466883309,0.086651879,0.000215882,Neuron,0.466883309,Negative
62287,GEMIN8,-0.464747643,0.022869467,4.82E-05,Neuron,0.464747643,Negative
62290,KDM6A,-0.450966798,1.27E-08,7.31E-12,Neuron,0.450966798,Negative
62292,AP1S2,-0.441790948,0.003008962,4.04E-06,Neuron,0.441790948,Negative
62294,SLC25A25,-0.433529137,0.091572017,0.00024569,Neuron,0.433529137,Negative
62297,RECQL,0.426454258,0.09878715,0.000295004,Neuron,0.426454258,Positive
62300,OFD1,-0.419329395,8.41E-05,8.06E-08,Neuron,0.419329395,Negative
62337,ZFX,-0.344551352,0.007579283,1.31E-05,Neuron,0.344551352,Negative
62355,GPM6B,-0.32186763,0.000609009,7.00E-07,Neuron,0.32186763,Negative
62394,BCL2L13,-0.289369529,0.09878715,0.000313007,Neuron,0.289369529,Negative
62503,CAMSAP2,-0.244858648,0.038345719,8.82E-05,Neuron,0.244858648,Negative
62516,YTHDC2,0.241172903,0.09878715,0.000321844,Neuron,0.241172903,Positive
67492,UTY,4.923853165,7.73E-154,1.10E-157,Adipocytes,4.923853165,Positive
67493,TBL1Y,4.880088871,8.75E-58,4.96E-61,Adipocytes,4.880088871,Positive
67494,RPS4Y1,4.783917787,1.24E-63,5.28E-67,Adipocytes,4.783917787,Positive
67495,ZFY,4.378611175,2.58E-51,1.83E-54,Adipocytes,4.378611175,Positive
67496,USP9Y,4.186548191,1.69E-99,4.79E-103,Adipocytes,4.186548191,Positive
67497,CEACAM8,-1.10974478,0.001088344,1.54E-06,Adipocytes,1.10974478,Negative
67499,IL4R,0.927630428,0.094426036,0.000548336,Adipocytes,0.927630428,Positive
67501,LRP1B,0.848226921,0.057760776,0.000212958,Adipocytes,0.848226921,Positive
67508,HTRA3,0.719620261,0.07766669,0.00041851,Adipocytes,0.719620261,Positive
67510,PSG8,-0.694386347,0.07766669,0.000391995,Adipocytes,0.694386347,Negative
67518,ZNF552,-0.613366067,0.089230457,0.000493475,Adipocytes,0.613366067,Negative
67523,GYG2,-0.584795716,0.007683724,1.31E-05,Adipocytes,0.584795716,Negative
67535,PRSS23,-0.547560313,0.07766669,0.000393688,Adipocytes,0.547560313,Negative
67539,MVP,0.538018907,0.07766669,0.000384308,Adipocytes,0.538018907,Positive
67543,CD99,0.527128432,3.41E-05,3.87E-08,Adipocytes,0.527128432,Positive
67563,SLC25A37,0.477402912,0.07766669,0.000391712,Adipocytes,0.477402912,Positive
67565,FLACC1,-0.472103053,0.013658682,2.71E-05,Adipocytes,0.472103053,Negative
67576,THAP4,0.45383774,0.013958224,2.97E-05,Adipocytes,0.45383774,Positive
67582,ETV6,0.448642552,0.029573193,8.39E-05,Adipocytes,0.448642552,Positive
67590,KDM6A,-0.437089221,2.18E-09,1.85E-12,Adipocytes,0.437089221,Negative
67591,NDUFAF8,0.433950121,0.07766669,0.000415709,Adipocytes,0.433950121,Positive
67622,ZFX,-0.40756592,4.06E-06,4.03E-09,Adipocytes,0.40756592,Negative
67653,LRCH1,0.383917839,0.018327589,4.85E-05,Adipocytes,0.383917839,Positive
67669,CLCN6,0.373853469,0.0653056,0.00026208,Adipocytes,0.373853469,Positive
67671,ELMOD2,-0.372936192,0.062531338,0.000239414,Adipocytes,0.372936192,Negative
67678,PUDP,-0.365858374,0.094426036,0.000548989,Adipocytes,0.365858374,Negative
67711,HEPACAM,-0.347805914,0.045875663,0.000162634,Adipocytes,0.347805914,Negative
67720,TXNL4A,0.345733156,0.032486807,9.67E-05,Adipocytes,0.345733156,Positive
67763,INTS11,0.333418969,0.097893611,0.000583031,Adipocytes,0.333418969,Positive
67775,MLLT6,0.330015287,0.038054775,0.000120945,Adipocytes,0.330015287,Positive
67789,NBN,-0.325855873,0.01238691,2.28E-05,Adipocytes,0.325855873,Negative
67808,SMC3,0.316815468,0.07766669,0.000409572,Adipocytes,0.316815468,Positive
67903,PDCD10,0.290530679,0.071819887,0.000315714,Adipocytes,0.290530679,Positive
67920,CABIN1,0.286884374,0.017867382,4.31E-05,Adipocytes,0.286884374,Positive
68041,SCAF4,0.262901723,0.018327589,4.94E-05,Adipocytes,0.262901723,Positive
68092,CD2AP,0.254482382,0.067407562,0.000286759,Adipocytes,0.254482382,Positive
68127,KAT6A,0.24949371,0.000207306,2.65E-07,Adipocytes,0.24949371,Positive
68162,ALG13,-0.244655578,0.015124081,3.43E-05,Adipocytes,0.244655578,Negative
68284,PRKCA,0.23075839,0.0653056,0.000268557,Adipocytes,0.23075839,Positive
68381,HM13,0.221589798,0.006926674,1.08E-05,Adipocytes,0.221589798,Positive
68515,YTHDF3,-0.206770585,0.038054775,0.000124115,Adipocytes,0.206770585,Negative
68814,UBXN4,0.18456885,0.041179671,0.000140146,Adipocytes,0.18456885,Positive
