,sample,prop_fetalization_spots,fetal_Moran,fetal_Moran_p,region
0,Visium_IZ_P10,15.798134942402633,0.20450872960290856,7.597754168269702e-103,IZ
1,Visium_control_P1,2.834387444366362,0.32221718843610353,9.148070825477057e-295,control
2,Visium_RZ_BZ_P3,0.6653788366602276,0.3735908292535487,0.0,RZ_BZ
3,Visium_RZ_P11,2.5297619047619047,0.2923066903215986,3.929178080908046e-117,RZ
4,Visium_control_P8,0.40716612377850164,0.27459206287841115,3.6868427706926124e-125,control
5,Visium_RZ_BZ_P12,0.5011792452830188,0.45299088209502464,0.0,RZ_BZ
6,Visium_IZ_P15,40.99902692182938,0.2910238428302836,2.227865692371317e-175,IZ
7,Visium_GT_IZ_P13,32.592592592592595,0.32261603277121703,5.221673807038845e-135,GT_IZ
8,Visium_FZ_P20,59.75103734439834,0.5233731100882694,0.0,FZ
9,Visium_IZ_P3,1.0607265977194378,0.641031828620271,0.0,IZ
10,Visium_control_P7,3.95769361992494,0.2007320081649681,2.4686026278758628e-80,control
11,Visium_RZ_FZ_P5,16.677482154445165,0.45673682364355794,0.0,RZ_FZ
12,Visium_FZ_P18,65.97412779302235,0.5715191438873113,0.0,FZ
13,Visium_RZ_P6,1.0619977037887485,0.24167875785334836,6.687649904660925e-137,RZ
14,Visium_control_P17,0.09789525208027411,0.29565860714145303,2.3082194970715566e-121,control
15,Visium_RZ_GT_P2,5.370265686828716,0.18388648366317753,1.979144781758337e-81,RZ_GT
16,Visium_RZ_BZ_P2,0.5632967684553809,0.3733121182505182,0.0,RZ_BZ
17,Visium_IZ_BZ_P2,26.62384011420414,0.5305326652894649,0.0,IZ_BZ
18,Visium_RZ_P3,0.033400133600534405,0.30832983616768145,2.5990055470142836e-192,RZ
19,Visium_GT_IZ_P9,7.108461362072919,0.4828620000182648,0.0,GT_IZ
20,Visium_FZ_GT_P19,82.96774193548387,0.388071427397379,0.0,FZ_GT
21,Visium_FZ_P14,27.2755905511811,0.6139513296799926,0.0,FZ
22,Visium_GT_IZ_P9_rep2,9.336250911743253,0.42499936669407007,0.0,GT_IZ
23,Visium_IZ_P16,23.884998157021748,0.5317763212909611,0.0,IZ
24,Visium_FZ_GT_P4,8.182459440395014,0.27923167675804716,6.038052128929477e-223,FZ_GT
25,Visium_RZ_P9,0.6067291781577496,0.3366282925594923,2.0500896362260487e-273,RZ
26,Visium_GT_IZ_P15,17.69316909294513,0.2771215849133609,1.727018180365185e-183,GT_IZ
